type,severity,count,map_id,key,reason,evidence,recommendation
path_blackspot,medium,15,1,"-9175,-4350",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,13,1,"-9675,-4125",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,13,1,"-8975,-3275",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,10,0,"625,-9800",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,10,1,"-9225,-4525",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,8,0,"-75,-5525",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,medium,8,0,"-425,-6075",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,7,0,"450,-5700",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,7,1,"-9500,-4350",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,7,1,"-9675,-4100",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,6,1,"-15175,6125",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,5,1,"-9375,-4475",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,5,0,"-25,-5675",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,5,1,"-14725,6250",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,1,"-9125,-3875",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,1,"-12675,-6525",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,0,"-700,2475",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,1,"-9225,-4175",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,0,"-300,-5900",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,4,0,"875,-5175",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-9250,-3875",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,0,"-1500,2375",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-12750,-6675",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-6125,-3775",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,0,"175,-5675",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,0,"-425,-6150",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-12600,-6750",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-9675,-4075",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-15025,5925",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
path_blackspot,low,3,1,"-9050,-3900",steep-local-slope,current-position bucket from MovementPathRejected,Apply learned destination penalty or choose alternate point for this objective/area.
destination_blackspot,medium,11,1,"-675,-4500",move to rpg target:steep-local-slope,destination bucket from rejected movement path,Lower travel score for this destination bucket until a known-good route or alternate landing point exists.
