2.1	check	PLR	guid20000	entry0	lvl60	(-430,-2650)	d0	hp100	mv0	tgt0	None	>	dd0
2.1	check	OBJ	guid3040683857	entry2003893	lvl0	(-416,-2647)	d15	hp0	mv0	tgt3307564442	?	>	dd0
2.1	check	OBJ	guid440208806	entry184858	lvl0	(-426,-2665)	d16	hp0	mv0	tgt3307639849	?	>	dd0
2.1	check	OBJ	guid524094881	entry184863	lvl0	(-426,-2666)	d17	hp0	mv0	tgt3307643494	?	>	dd0
2.1	check	OBJ	guid2117930399	entry180350	lvl0	(-427,-2666)	d16	hp0	mv0	tgt3307641405	?	>	dd0
2.1	check	OBJ	guid3376220502	entry180425	lvl0	(-417,-2635)	d20	hp0	mv0	tgt3307516641	?	>	dd0
2.1	check	OBJ	guid87886164	entry179973	lvl0	(-417,-2635)	d20	hp0	mv0	tgt3307516887	?	>	dd0
2.1	check	OBJ	guid1362954577	entry180049	lvl0	(-407,-2644)	d24	hp0	mv0	tgt3307551990	?	>	dd0
2.1	check	OBJ	guid1362954576	entry180049	lvl0	(-407,-2644)	d24	hp0	mv0	tgt3307552399	?	>	dd0
2.1	check	OBJ	guid1815939406	entry180332	lvl0	(-407,-2643)	d24	hp0	mv0	tgt3307549368	?	>	dd0
2.1	check	OBJ	guid2319255876	entry101770	lvl0	(-413,-2655)	d17	hp0	mv0	tgt3307596636	?	>	dd0
2.1	check	OBJ	guid2319255875	entry101770	lvl0	(-413,-2653)	d17	hp0	mv0	tgt3307590246	?	>	dd0
2.1	check	OBJ	guid3376220482	entry180425	lvl0	(-414,-2653)	d16	hp0	mv0	tgt3307591066	?	>	dd0
2.1	check	OBJ	guid2268924225	entry2695	lvl0	(-415,-2654)	d16	hp0	mv0	tgt3307592950	?	>	dd0
2.1	check	OBJ	guid1379731776	entry1000018	lvl0	(-414,-2654)	d17	hp0	mv0	tgt3307593687	?	>	dd0
2.1	check	OBJ	guid2503805246	entry180885	lvl0	(-414,-2654)	d16	hp0	mv0	tgt3307593523	?	>	dd0
2.1	check	OBJ	guid1715276093	entry1000038	lvl0	(-417,-2654)	d14	hp0	mv0	tgt3307594629	?	>	dd0
2.1	check	OBJ	guid3074230587	entry183991	lvl0	(-418,-2655)	d13	hp0	mv0	tgt3307595858	?	>	dd0
2.1	check	OBJ	guid1815939376	entry180332	lvl0	(-409,-2659)	d23	hp0	mv0	tgt3307612856	?	>	dd0
2.1	check	OBJ	guid1916602671	entry180338	lvl0	(-408,-2659)	d24	hp0	mv0	tgt3307613348	?	>	dd0
2.1	check	OBJ	guid524093738	entry184863	lvl0	(-409,-2658)	d22	hp0	mv0	tgt3307608719	?	>	dd0
2.1	check	OBJ	guid1748830505	entry1000040	lvl0	(-405,-2658)	d27	hp0	mv0	tgt3307610972	?	>	dd0
2.1	check	OBJ	guid1362954536	entry180049	lvl0	(-405,-2658)	d26	hp0	mv0	tgt3307610685	?	>	dd0
2.1	check	OBJ	guid1362954535	entry180049	lvl0	(-404,-2659)	d27	hp0	mv0	tgt3307614331	?	>	dd0
