2.1	probe	PLR	guid20000	entry0	lvl60	(-8660,620)	d0	hp100	mv0	tgt0	Obseye	>	dd0
2.1	probe	OBJ	guid2382401228	entry181390	lvl0	(-8741,579)	d91	hp0	mv0	tgt1141948809	?	>	dd0
2.1	probe	OBJ	guid2030075294	entry3705	lvl0	(-8566,599)	d96	hp0	mv0	tgt1142275637	?	>	dd0
2.1	probe	OBJ	guid872441569	entry2100	lvl0	(-8774,612)	d114	hp0	mv0	tgt1142497247	?	>	dd0
2.1	probe	OBJ	guid3070267464	entry181431	lvl0	(-8711,612)	d52	hp0	mv0	tgt1142483010	?	>	dd0
2.1	probe	OBJ	guid357322283	entry112917	lvl0	(-8664,620)	d4	hp0	mv0	tgt1142625223	?	>	dd0
2.1	probe	OBJ	guid3595340716	entry2020054	lvl0	(-8562,610)	d99	hp0	mv0	tgt1142459351	?	>	dd0
2.1	probe	OBJ	guid3644660702	entry2008793	lvl0	(-8541,609)	d119	hp0	mv0	tgt1142443278	?	>	dd0
2.1	probe	OBJ	guid305994717	entry2000402	lvl0	(-8543,612)	d117	hp0	mv0	tgt1142483878	?	>	dd0
2.1	probe	OBJ	guid708647876	entry2000426	lvl0	(-8541,615)	d119	hp0	mv0	tgt1142533800	?	>	dd0
2.1	probe	OBJ	guid624761679	entry2010661	lvl0	(-8542,621)	d118	hp0	mv0	tgt1142636052	?	>	dd0
2.1	probe	OBJ	guid540875594	entry2010656	lvl0	(-8550,615)	d111	hp0	mv0	tgt1142541926	?	>	dd0
2.1	probe	OBJ	guid2689377086	entry2003872	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143332405	?	>	dd0
2.1	probe	OBJ	guid3712787258	entry2001885	lvl0	(-8740,663)	d91	hp0	mv0	tgt1143329653	?	>	dd0
2.1	probe	OBJ	guid3696010040	entry2002396	lvl0	(-8741,663)	d92	hp0	mv0	tgt1143327146	?	>	dd0
